&a / °	I1 / %
-2,272	9,6
-2,277	12,0
-2,282	15,5
-2,288	19,8
-2,293	24,6
-2,298	28,5
-2,304	30,8
-2,309	32,4
-2,314	32,8
-2,320	31,2
-2,325	28,3
-2,330	25,1
-2,336	21,2
-2,341	17,0
-2,346	13,2
-2,352	10,3
-2,357	8,3
-2,362	6,8
-2,368	5,9
-2,373	5,1
-2,378	4,8
-2,384	4,4
-2,389	4,4
-2,394	4,4
-2,400	4,4
-2,405	4,5
-2,410	4,9
-2,416	5,3
-2,421	6,0
-2,426	6,8
-2,432	8,1
-2,437	10,0
-2,442	12,8
-2,448	16,4
-2,453	20,8
-2,458	25,2
-2,464	28,4
-2,469	30,4
-2,474	31,6
-2,480	30,9
-2,485	28,2
-2,490	25,0
-2,496	21,4
-2,501	17,2
-2,506	13,2
-2,512	10,0
-2,517	8,0
-2,522	6,4
-2,528	5,6
-2,533	4,9
-2,538	4,5
-2,544	4,4
-2,549	4,4
-2,554	4,4
-2,560	4,6
-2,565	4,9
-2,570	5,4
-2,576	6,0
-2,581	7,0
-2,586	8,4
-2,592	10,4
-2,597	13,3
-2,602	17,2
-2,608	21,6
-2,613	25,6
-2,619	28,0
-2,624	29,9
-2,629	30,3
-2,635	28,5
-2,640	25,4
-2,645	22,0
-2,651	18,0
-2,656	14,0
-2,661	10,8
-2,667	8,4
-2,672	6,8
-2,677	5,9
-2,683	5,2
-2,688	4,8
-2,693	4,4
-2,699	4,4
-2,704	4,4
-2,709	4,8
-2,715	5,2
-2,720	6,0
-2,725	6,8
-2,731	8,0
-2,736	10,4
-2,741	12,8
-2,747	16,4
-2,752	20,8
-2,757	24,9
-2,763	27,7
-2,768	29,2
-2,773	29,6
-2,779	27,6
-2,784	24,5
-2,789	20,8
-2,795	16,7
-2,800	12,8
-2,805	9,9
-2,811	7,9
-2,816	6,5
-2,821	5,6
-2,827	5,1
-2,832	4,7
-2,837	4,7
-2,843	4,8
-2,848	5,2
-2,853	5,6
-2,859	6,1
-2,864	7,0
-2,869	8,2
-2,875	10,1
-2,880	12,8
-2,885	16,4
-2,891	20,9
-2,896	24,9
-2,901	27,4
-2,907	28,7
-2,912	28,3
-2,917	25,8
-2,923	22,5
-2,928	18,4
-2,933	14,4
-2,939	10,8
-2,944	8,4
-2,949	6,8
-2,955	6,0
-2,960	5,2
-2,965	4,9
-2,971	4,8
-2,976	4,9
-2,981	5,2
-2,987	5,6
-2,992	6,2
-2,997	7,2
-3,003	8,6
-3,008	10,6
-3,013	13,6
-3,019	17,6
-3,024	22,1
-3,029	25,7
-3,035	27,7
-3,040	28,5
-3,045	26,9
-3,051	23,6
-3,056	19,4
-3,061	15,0
-3,067	11,4
-3,072	8,9
-3,077	7,3
-3,083	6,2
-3,088	5,5
-3,093	5,1
-3,099	4,8
-3,104	4,8
-3,109	5,2
-3,115	5,6
-3,120	6,3
-3,125	7,2
-3,131	8,8
-3,136	11,2
-3,141	14,4
-3,147	18,8
-3,152	23,2
-3,157	26,1
-3,163	27,7
-3,168	27,2
-3,173	24,8
-3,179	21,2
-3,184	16,9
-3,189	12,9
-3,195	9,7
-3,200	7,6
-3,205	6,3
-3,211	5,3
-3,216	4,8
-3,221	4,5
-3,227	4,5
-3,232	4,8
-3,237	5,3
-3,243	6,2
-3,248	7,4
-3,253	9,1
-3,259	11,6
-3,264	15,3
-3,269	19,7
-3,275	23,6
-3,280	26,4
-3,285	27,2
-3,291	23,9
-3,296	19,3
-3,301	14,9
-3,306	12,0
-3,312	9,6
-3,317	7,6
-3,322	6,1
-3,328	5,2
-3,333	4,8
-3,338	4,4
-3,344	4,4
-3,349	4,8
-3,354	5,2
-3,360	6,0
-3,365	7,2
-3,370	8,9
-3,376	11,7
-3,381	15,4
-3,386	19,5
-3,392	23,1
-3,397	25,5
-3,402	26,2
-3,408	24,4
