x-axis,1,2,3
second,Volt,Volt,Volt
+2.82000E-03,+1.99900007E+00,+185.00000E-03,+199.50008E-03
+2.83000E-03,+1.93650007E+00,+178.75000E-03,+199.50008E-03
+2.84000E-03,+1.87400007E+00,+166.25000E-03,+199.50008E-03
+2.85000E-03,+1.93650007E+00,+178.75000E-03,+199.50008E-03
+2.86000E-03,+1.87400007E+00,+178.75000E-03,+168.25008E-03
+2.87000E-03,+1.93650007E+00,+178.75000E-03,+199.50008E-03
+2.88000E-03,+1.93650007E+00,+172.50000E-03,+199.50008E-03
+2.89000E-03,+1.81150007E+00,+166.25000E-03,+199.50008E-03
+2.90000E-03,+1.81150007E+00,+166.25000E-03,+199.50008E-03
+2.91000E-03,+1.81150007E+00,+172.50000E-03,+199.50008E-03
+2.92000E-03,+1.81150007E+00,+166.25000E-03,+199.50008E-03
+2.93000E-03,+1.81150007E+00,+160.00000E-03,+199.50008E-03
+2.94000E-03,+1.87400007E+00,+160.00000E-03,+199.50008E-03
+2.95000E-03,+1.81150007E+00,+160.00000E-03,+199.50008E-03
+2.96000E-03,+1.74900007E+00,+153.75000E-03,+230.75008E-03
+2.97000E-03,+1.81150007E+00,+160.00000E-03,+199.50008E-03
+2.98000E-03,+1.81150007E+00,+147.50000E-03,+199.50008E-03
+2.99000E-03,+1.81150007E+00,+160.00000E-03,+168.25008E-03
+3.00000E-03,+1.81150007E+00,+160.00000E-03,+168.25008E-03
+3.01000E-03,+1.74900007E+00,+153.75000E-03,+199.50008E-03
+3.02000E-03,+1.81150007E+00,+147.50000E-03,+199.50008E-03
+3.03000E-03,+1.74900007E+00,+147.50000E-03,+199.50008E-03
+3.04000E-03,+1.74900007E+00,+153.75000E-03,+168.25008E-03
+3.05000E-03,+1.81150007E+00,+153.75000E-03,+199.50008E-03
+3.06000E-03,+1.81150007E+00,+141.25000E-03,+199.50008E-03
+3.07000E-03,+1.62400007E+00,+141.25000E-03,+168.25008E-03
